LocusLink	Name	P-value	Description
25976	TIPARP	0.0027787	TCDD-inducible poly(ADP-ribose) polymerase.DDF1; DKFZP434J214; DKFZp686N0351.TCDD-inducible poly(ADP-ribose) polymerase.
9368	SLC9A3R1	0.00282669	"solute carrier family 9 (sodiumhydrogen exchanger), isoform 3 regulatory factor 1.EBP50; NHERF.solute carrier family 9 (sodiumhydrogen exchanger), isoform 3 regulatory factor 1."
3125	HLA-DRB3	0.0028703	"major histocompatibility complex, class II, DR beta 3.HLA-DR3B.major histocompatibility complex, class II, DR beta 3 precursor."
29106	SCG3	0.00288737	secretogranin III.SGIII.secretogranin III.
2026	ENO2	0.00288771	"enolase 2, (gamma, neuronal).NSE.enolase 2."
4974	OMG	0.00292365	oligodendrocyte myelin glycoprotein.OMGP.oligodendrocyte myelin glycoprotein.
2289	FKBP5	0.00298975	FK506 binding protein 5.P54; FKBP51; FKBP54; PPIase; Ptg-10.FK506 binding protein 5.
9615	GDA	0.00305763	guanine deaminase.CYPIN; GUANASE; NEDASIN; KIAA1258.guanine deaminase.
5588	PRKCQ	0.00307457	"protein kinase C, theta..protein kinase C, theta."
55268		0.00309207	hypothetical protein FLJ10948.
6402	SELL	0.003108	selectin L (lymphocyte adhesion molecule 1).TQ1; LAM1; LNHR; LSEL; CD62L; LAM-1; LYAM1; Leu-8; PLNHR; hLHRc; LECAM1; Lyam-1.selectin L.
6414	SEPP1	0.00319741	"selenoprotein P, plasma, 1.SeP.selenoprotein P precursor."
5362	PLXNA2	0.00338655	plexin A2.OCT; PLXN2; FLJ11751; KIAA0463..
116842		0.00346182	liver-expressed antimicrobial peptide 2 precursor.
4709	NDUFB3	0.00349586	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa.B12.NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa."
9498	SLC4A8	0.00350908	"solute carrier family 4, sodium bicarbonate cotransporter, member 8.NBC3.solute carrier family 4, sodium bicarbonate cotransporter, member 8."
9563	H6PD	0.00352211	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase).GDH; G6PDH.hexose-6-phosphate dehydrogenase precursor.
80315	CPEB4	0.00353124	cytoplasmic polyadenylation element binding protein 4.KIAA1673.cytoplasmic polyadenylation element binding protein 4.
9743		0.00357262	GRIT; GC-GAP; MGC1892; p250GAP; KIAA0712; p200RhoGAP.Rho GTPase-activating protein.
9099	USP2	0.0036536	ubiquitin specific protease 2.USP9; UBP41.ubiquitin specific protease 2 isoform b.
4920	ROR2	0.00369569	receptor tyrosine kinase-like orphan receptor 2.BDB; BDB1; NTRKR2.receptor tyrosine kinase-like orphan receptor 2 precursor.
57568	SIPA1L2	0.00372328	signal-induced proliferation-associated 1 like 2.KIAA1389..
4804	NGFR	0.00372647	"nerve growth factor receptor (TNFR superfamily, member 16).TNFRSF16; p75(NTR).nerve growth factor receptor precursor."
27253	PCDH17	0.00374597	protocadherin 17.PCH68; PCDH68.protocadherin 17.
4814	NINJ1	0.00374653	ninjurin 1.NIN1; NINJURIN.ninjurin 1.
6659	SOX4	0.00376383	SRY (sex determining region Y)-box 4.EVI16.SRY (sex determining region Y)-box 4.
6017	RLBP1	0.00376929	retinaldehyde binding protein 1.CRALBP; MGC3663.retinaldehyde binding protein 1.
1728	NQO1	0.00381942	"NAD(P)H dehydrogenase, quinone 1.DTD; QR1; DHQU; DIA4; NMOR1; NMORI.NAD(P)H menadione oxidoreductase 1, dioxin-inducible."
3752	KCND3	0.00389694	"potassium voltage-gated channel, Shal-related subfamily, member 3.KV4.3; KCND3L; KCND3S; KSHIVB.potassium voltage-gated channel, Shal-related subfamily, member 3 isoform 2."
56616	DIABLO	0.0039499	"diablo homolog (Drosophila).Eig1; MM-1; D15Ertd697e; 1190001O17Rik; Msk2; 90kDa; mMSK2; 1110069D02Rik; Gst; 1500002K10Rik; SMAC; SMAC3; DIABLO-S; FLJ10537; FLJ25049.second mitochondria-derived activator of caspase isoform Smac-delta, precursor."
23547		0.00398044	"LILRA4.leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4."
220	ALDH1A3	0.0040156	"aldehyde dehydrogenase 1 family, member A3.ALDH6; RALDH3; ALDH1A6.aldehyde dehydrogenase 1A3."
7480	WNT10B	0.00405373	"wingless-type MMTV integration site family, member 10B.WNT-12.wingless-type MMTV integration site family, member 10B precursor."
2274	FHL2	0.00405377	four and a half LIM domains 2.DRAL; SLIM3.four and a half LIM domains 2.
54996		0.00412003	hypothetical protein FLJ20605.
9911		0.00421258	KIAA0481.cerebral protein 11.
51382	ATP6V1D	0.00422595	"ATPase, H transporting, lysosomal 34kDa, V1 subunit D.VATD; VMA8; ATP6M.ATPase, H transporting, lysosomal 34kD, V1 subunit D."
4313	MMP2	0.00426103	"matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase).CLG4; CLG4A; TBE-1.matrix metalloproteinase 2 preproprotein."
10468	FST	0.00430315	follistatin.FS.follistatin isoform FST344 precursor.
80206		0.00434479	FLJ22297; FLJ22717..
84966		0.00445881	hypothetical protein MGC15730.
3875	KRT18	0.00458842	keratin 18.K18; CYK18.keratin 18.
6545	SLC7A4	0.00460927	"solute carrier family 7 (cationic amino acid transporter, y system), member 4.CAT4; CAT-4; HCAT3.solute carrier family 7 (cationic amino acid transporter, y system), member 4."
5307	PITX1	0.00464435	paired-like homeodomain transcription factor 1.BFT; POTX; PTX1.paired-like homeodomain transcription factor 1.
6359	CCL15	0.00465748	chemokine (C-C motif) ligand 15.LKN1; NCC3; SY15; HCC-2; Lkn-1; MIP-5; NCC-3; SCYL3; MIP-1d; SCYA15; HMRP-2B.chemokine (C-C motif) ligand 15 precursor.
8857	FCGBP	0.00468847	Fc fragment of IgG binding protein.FC(GAMMA)BP.Fc fragment of IgG binding protein.IgGFc binding protein; may play roles in immune protection and inflammation in the intestine; has 400 residue cysteine-rich repeats and a CGLCGN motif|Proteome
7791	ZYX	0.00473851	zyxin..zyxin.
10409	BASP1	0.00477456	"brain abundant, membrane attached signal protein 1.CAP23; NAP22; CAP-23; NAP-22; MGC8555.brain abundant, membrane attached signal protein 1."
6317	SERPINB3	0.00488207	"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3.SCC; T4-A; SCCA1; HsT1196; SCCA-PD.serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3.Serine protease inhibitor (squamous cell carcinoma antigen); member of the ovalbumin serpin family|Proteome"
2243	FGA	0.00489501	"fibrinogen, A alpha polypeptide..fibrinogen, alpha chain isoform alpha-E preproprotein."
2348	FOLR1	0.00490549	folate receptor 1 (adult).FBP; FOLR; MOv18; FR-alpha.folate receptor 1 precursor.
83936		0.00491602	
217	ALDH2	0.00492731	aldehyde dehydrogenase 2 family (mitochondrial).ALDM; ALDHI; ALDH-E2; MGC1806.mitochondrial aldehyde dehydrogenase 2 precursor.
54738		0.00494056	FEV; PET-1.FEV protein.
10403	KNTC2	0.00501641	kinetochore associated 2.HEC; HEC1.kinetochore associated 2.
23710	GABARAPL1	0.00504661	GABA(A) receptor-associated protein like 1.GEC1.GABA(A) receptor-associated protein like 1.
1117	CHI3L2	0.00506551	chitinase 3-like 2.YKL39; YKL-39.chitinase 3-like 2.
2195	FAT	0.00515463	FAT tumor suppressor homolog 1 (Drosophila).ME5; CDHF7.FAT tumor suppressor precursor.
5188	PET112L	0.00519355	PET112-like (yeast).PET112.PET112-like.
784	CACNB3	0.00523787	"calcium channel, voltage-dependent, beta 3 subunit.CACNLB3.calcium channel, voltage-dependent, beta 3 subunit."
63940	C6orf9	0.00538935	chromosome 6 open reading frame 9.G18; NG1; G18.2; G18.1a; G18.1b.chromosome 6 open reading frame 9.
1528	CYB5	0.00539673	cytochrome b-5..cytochrome b-5.
57657	HCN3	0.00541617	hyperpolarization activated cyclic nucleotide-gated potassium channel 3.KIAA1535.hyperpolarization activated cyclic nucleotide-gated potassium channel 3.
50486		0.00544874	putative lymphocyte G0G1 switch gene.
1048	CEACAM5	0.00545075	carcinoembryonic antigen-related cell adhesion molecule 5.CEA; CD66e.carcinoembryonic antigen-related cell adhesion molecule 5.
3909	LAMA3	0.00552557	"laminin, alpha 3.E170; LOCS; LAMNA.laminin alpha 3 subunit isoform 2."
5167	ENPP1	0.00553564	ectonucleotide pyrophosphatasephosphodiesterase 1.M6S1; NPP1; NPPS; PC-1; PCA1; PDNP1.ectonucleotide pyrophosphatasephosphodiesterase 1.
2117	ETV3	0.00559222	ets variant gene 3.PE1; METS; PE-1; bA110J1.4.ets variant gene 3.
57592		0.00561163	KIAA1441 protein.
4283	CXCL9	0.00574608	chemokine (C-X-C motif) ligand 9.CMK; MIG; Humig; SCYB9; crg-10.small inducible cytokine B9 precursor.
10786	SLC17A3	0.00579796	"solute carrier family 17 (sodium phosphate), member 3.NPT4.solute carrier family 17 (sodium phosphate), member 3."
5598	MAPK7	0.0058123	mitogen-activated protein kinase 7.BMK1; ERK4; ERK5; PRKM7.mitogen-activated protein kinase 7 isoform 2.
23237	ARC	0.00581851	activity-regulated cytoskeleton-associated protein.KIAA0278.activity-regulated cytoskeleton-associated protein.
3303;3535		0.00584561	
138121		0.00587717	
5412	UBL3	0.00589926	ubiquitin-like 3.HCG-1; PNSC1; DKFZP434K151.ubiquitin-like 3.
23221	RHOBTB2	0.00598026	Rho-related BTB domain containing 2.DBC2; KIAA0717.Rho-related BTB domain containing 2.
27334	P2RY10	0.00600574	"purinergic receptor P2Y, G-protein coupled, 10.P2Y10.G-protein coupled purinergic receptor P2Y10."
79841		0.00604347	hypothetical protein FLJ23598.
91181		0.00604347	
55692	LUC7L	0.00610987	LUC7-like (S. cerevisiae).SR89; LUC7B1; FLJ10231; LUC7-LIKE.LUC7-like.Low similarity to S. cerevisiae Luc7p|Proteome
84108	RNF134	0.00610987	ring finger protein 134.MBLR; MGC15678; MGC17541.ring finger protein 134.
84930		0.00610987	hypothetical protein FLJ14813.
711	C1orf1	0.006161	chromosome 1 open reading frame 1.Po42.chromosome 1 open reading frame 1.
2302	FOXJ1	0.00623385	forkhead box J1.HFH4; HFH-4; FKHL13.forkhead box J1.
2146	EZH2	0.00626525	enhancer of zeste homolog 2 (Drosophila).EZH1; ENX-1; MGC9169.enhancer of zeste 2 isoform b.
27240		0.00629901	SHP2-interacting transmembrane adaptor protein.
56008		0.00631516	
919	CD3Z	0.00631788	"CD3Z antigen, zeta polypeptide (TiT3 complex).CD3H; CD3Q; TCRZ; CD3-ZETA.T-cell receptor zeta chain isoform 2 precursor."
1297	COL9A1	0.00640365	"collagen, type IX, alpha 1.MED; DJ149L1.1.2.alpha 1 type IX collagen isoform 2 precursor."
10124	ARL4	0.00641063	ADP-ribosylation factor-like 4..ADP-ribosylation factor-like 4.
26471		0.00642461	COM1.p8 protein (candidate of metastasis 1).
80176		0.00642473	FLJ22393.SPRY domain-containing SOCS box protein SSB-1.
83981	C14orf141	0.00644353	chromosome 14 open reading frame 141.MGC37676; 1190005H08Rik; JAM-3; Jcam3; 1110002N23Rik; D17Abb1e; MSTP031.chromosome 14 open reading frame 141.
27301	APEX2	0.00653179	APEX nuclease (apurinicapyrimidinic endonuclease) 2.APE2; XTH2; APEXL2.apurinicapyrimidinic endonuclease 2.
9684	LRRC14	0.00653399	leucine rich repeat containing 14.KIAA0014.leucine rich repeat containing 14.
2353	FOS	0.00669105	v-fos FBJ murine osteosarcoma viral oncogene homolog..v-fos FBJ murine osteosarcoma viral oncogene homolog.
899	CCNF	0.0067037	cyclin F.FBX1; FBXO1.cyclin F.
1043	CDW52	0.00675454	CDW52 antigen (CAMPATH-1 antigen).CD52.CDW52 antigen (CAMPATH-1 antigen).
79870	BAALC	0.00684448	"brain and acute leukemia, cytoplasmic.FLJ12015.brain and acute leukemia, cytoplasmic."
2297	FOXD1	0.00693171	forkhead box D1.FKHL8; FREAC4.forkhead box D1.
3822	KLRC2	0.00701971	"killer cell lectin-like receptor subfamily C, member 2.NKG2C; NKG2-C.killer cell lectin-like receptor subfamily C, member 2."
1668	DEFA3	0.00707657	"defensin, alpha 3, neutrophil-specific.DEF3; HNP3; HP-3; HNP-3.defensin, alpha 3, preproprotein."
56944		0.00709573	HNOEL-iso protein.
51526	C20orf111	0.00718233	chromosome 20 open reading frame 111.HSPC207; dJ1183I21.1.chromosome 20 open reading frame 111.
4061	LY6E	0.00718651	"lymphocyte antigen 6 complex, locus E.RIGE; SCA2; RIG-E; SCA-2; TSA-1.lymphocyte antigen 6 complex, locus E."
27134	TJP3	0.00722378	tight junction protein 3 (zona occludens 3).ZO-3.tight junction protein 3 (zona occludens 3).
22848	AAK1	0.00737084	AP2 associated kinase 1.KIAA1048.AP2 associated kinase 1.
25928	SOSTDC1	0.00742128	sclerostin domain containing 1.USAG1; ECTODIN; DKFZp564D206.cystine knot-containing secreted protein.Low similarity to a region of rat mucin (Rn.10789)|Proteome
147686		0.00742826	FLJ31551..
8340	HIST1H2BL	0.00745225	"histone 1, H2bl.H2Bc; H2BFC; dJ97D16.4.H2B histone family, member C."
3273	HRG	0.00749586	histidine-rich glycoprotein.HPRG; HRGP.histidine-rich glycoprotein precursor.
433	ASGR2	0.0075308	asialoglycoprotein receptor 2.L-H2; ASGP-R; Hs.1259.asialoglycoprotein receptor 2 isoform c.
54665		0.00754232	hypothetical protein FLJ11220.
64112	MOAP1	0.00771939	modulator of apoptosis 1.MAP-1; PNMA4.modulator of apoptosis 1.
248	ALPI	0.00772176	"alkaline phosphatase, intestinal.IAP.intestinal alkaline phosphatase precursor."
5368	PNOC	0.00792712	prepronociceptin.PPNOC.prepronociceptin.
