LocusLink	Name	P-value	Description
1000	CDH2	<1e-14	"cadherin 2, type 1, N-cadherin (neuronal).CDHN; NCAD.cadherin 2, type 1 preproprotein."
10231	DSCR1L1	<1e-14	Down syndrome critical region gene 1-like 1.CSP2; MCIP2; ZAKI-4.Down syndrome critical region gene 1-like 1 protein.Induced by triiodothyronine (T3)|Proteome
10368	CACNG3	<1e-14	"calcium channel, voltage-dependent, gamma subunit 3..voltage-dependent calcium channel gamma-3 subunit."
10439	OLFM1	<1e-14	olfactomedin 1.AMY; NOE1; OlfA; NOELIN.olfactomedin related ER localized protein isoform 3.
10633		<1e-14	RAS-related on chromosome 22.
1081	CGA	<1e-14	"glycoprotein hormones, alpha polypeptide.HCG; LHA; FSHA; GPHa; TSHA; GPHA1; CG-ALPHA.glycoprotein hormones, alpha polypeptide precursor."
10900		<1e-14	RaP2 interacting protein 8.Rap2 interacting protein 8; interacts with the activated form of Rap2|Proteome
10962		<1e-14	AF1Q protein.
10974		<1e-14	adipose specific 2.
11013		<1e-14	"thymosin, beta, identified in neuroblastoma cells."
11041	B3GNT6	<1e-14	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6.IGAT; IGNT; iGAT; iGNT; BETA3GNTI.beta-1,3-N-acetylglucosaminyltransferase bGnT-6."
11075	STMN2	<1e-14	"stathmin-like 2.SCG10; SGC10; SCGN10.superiorcervical ganglia, neural specific 10."
1113	CHGA	<1e-14	chromogranin A (parathyroid secretory protein 1).CGA.chromogranin A.
1114	CHGB	<1e-14	chromogranin B (secretogranin 1).SCG1.chromogranin B precursor.
11156	PTP4A3	<1e-14	"protein tyrosine phosphatase type IVA, member 3.PRL3; PRL-3; PRL-R.protein tyrosine phosphatase type IVA, member 3 isoform 2."
1159	CKMT1	<1e-14	"creatine kinase, mitochondrial 1 (ubiquitous).CKMT; UMTCK.ubiquitous mitochondrial creatine kinase precursor."
116138	KLHDC3	<1e-14	kelch domain containing 3.PEAS; HPEAS; hPeas; dJ20C7.3.testis intracellular mediator protein.
12	SERPINA3	<1e-14	"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3.ACT; AACT.alpha-1-antichymotrypsin, precursor."
1299	COL9A3	<1e-14	"collagen, type IX, alpha 3.IDD; MED; EDM3; DJ885L7.4.1.alpha 3 type IX collagen."
1346	COX7A1	<1e-14	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle).COX7A; COX7AH; COX7AM.cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) precursor.
1363	CPE	<1e-14	carboxypeptidase E..carboxypeptidase E precursor.
1381	CRABP1	<1e-14	cellular retinoic acid binding protein 1.RBP5; CRABP; CRABPI; CRABP-I.cellular retinoic acid binding protein 1.
1400	CRMP1	<1e-14	collapsin response mediator protein 1.DRP1; DRP-1; DPYSL1.collapsin response mediator protein 1.
1410	CRYAB	<1e-14	"crystallin, alpha B.CRYA2; CTPP2.crystallin, alpha B."
1428	CRYM	<1e-14	"crystallin, mu.THBP; DFNA40.crystallin, mu."
1443	CSH2	<1e-14	chorionic somatomammotropin hormone 2.CSB.chorionic somatomammotropin hormone 2 isoform 4.
1463	CSPG3	<1e-14	chondroitin sulfate proteoglycan 3 (neurocan).NCAN.chondroitin sulfate proteoglycan 3 (neurocan).
1466	CSRP2	<1e-14	cysteine and glycine-rich protein 2.CRP2; LMO5.cysteine and glycine-rich protein 2.
1524	CX3CR1	<1e-14	chemokine (C-X3-C motif) receptor 1.V28; CCRL1; GPR13; CMKDR1; GPRV28; CMKBRL1.chemokine (C-X3-C motif) receptor 1.
1627	DBN1	<1e-14	drebrin 1.D0S117E; DKFZp434D064.drebrin 1 isoform b.
1641	DCX	<1e-14	"doublecortex; lissencephaly, X-linked (doublecortin).DC; DBCN; LISX; SCLH; XLIS.doublecortin isoform c."
1645	AKR1C1	<1e-14	"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase).C9; DD1; DDH; DDH1; H-37; MBAB; HAKRC; MGC8954; 2-ALPHA-HSD; 20-ALPHA-HSD.aldo-keto reductase family 1, member C1."
1646	AKR1C2	<1e-14	"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III).DD; DD2; BABP; DDH2; HBAB; HAKRD; MCDR2; AKR1C-pseudo.aldo-keto reductase family 1, member C2."
1780	DNCI1	<1e-14	"dynein, cytoplasmic, intermediate polypeptide 1.DNCIC1.dynein, cytoplasmic, intermediate polypeptide 1."
1809	DPYSL3	<1e-14	dihydropyrimidinase-like 3.DRP3; ULIP; CRMP4; DRP-3; CRMP-4.dihydropyrimidinase-like 3.
183	AGT	<1e-14	"angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8).ANHU; SERPINA8.angiotensinogen precursor."
1896	ED1	<1e-14	"ectodermal dysplasia 1, anhidrotic.EDA; HED; EDA1; XHED; XLHED.ectodermal dysplasia 1, anhidrotic."
1996	ELAVL4	<1e-14	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D).HUD; PNEM.ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)."
2043	EPHA4	<1e-14	EphA4.SEK; HEK8; TYRO1.ephrin receptor EphA4.
214	ALCAM	<1e-14	activated leukocyte cell adhesion molecule.MEMD; CD166.activated leukocyte cell adhesion molecule.
216	ALDH1A1	<1e-14	"aldehyde dehydrogenase 1 family, member A1.ALDC; ALDH1; PUMB1; ALDH11; RALDH1; ALDH-E1; MGC2318.aldehyde dehydrogenase 1A1."
2180	FACL2	<1e-14	"fatty-acid-Coenzyme A ligase, long-chain 2.ACS1; LACS; FACL1; LACS1; LACS2.long-chain fatty-acid-Coenzyme A ligase 2."
2261	FGFR3	<1e-14	"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism).ACH; CEK2; JTK4; HSFGFR3EX.fibroblast growth factor receptor 3 isoform 2 precursor."
2281	FKBP1B	<1e-14	"FK506 binding protein 1B, 12.6 kDa.OTK4; FKBP9; FKBP1L; PKBP1L; PPIase; FKBP12.6.FK506-binding protein 1B isoform b."
22822	PHLDA1	<1e-14	"pleckstrin homology-like domain, family A, member 1.TDAG51; DT1P1B11.pleckstrin homology-like domain, family A, member 1."
22885		<1e-14	KIAA0843 protein.
2290	FOXG1B	<1e-14	forkhead box G1B.BF1; QIN; FKH2; HFK1; FKHL1; FKHL4; HBF-1.forkhead box G1B.
22905	EPN2	<1e-14	epsin 2.EHB21; KIAA1065.epsin 2 isoform b.
23089	PEG10	<1e-14	paternally expressed 10.Edr; HB-1; MEF3L; KIAA1051.paternally expressed 10.
23136	EPB41L3	<1e-14	erythrocyte membrane protein band 4.1-like 3.4.1B; DAL1; DAL-1; KIAA0987.erythrocyte membrane protein band 4.1-like 3.
23194	FBXL7	<1e-14	F-box and leucine-rich repeat protein 7.FBL6; FBL7; FLJ11609; KIAA0840.F-box and leucine-rich repeat protein 7.
23209	MLC1	<1e-14	megalencephalic leukoencephalopathy with subcortical cysts 1.VL; LVM; MLC; KIAA0027.megalencephalic leukoencephalopathy with subcortical cysts 1 gene product.
23335	WDR7	<1e-14	WD repeat domain 7.TRAG; KIAA0541.WD repeat domain 7 protein isoform 2.
2350	FOLR2	<1e-14	folate receptor 2 (fetal).FR-P3; FR-beta; FBPPL-1; beta-hFR.folate receptor 2 precursor.
23532	PRAME	<1e-14	preferentially expressed antigen in melanoma.MAPE; OIP4.preferentially expressed antigen in melanoma.
2353	FOS	<1e-14	v-fos FBJ murine osteosarcoma viral oncogene homolog..v-fos FBJ murine osteosarcoma viral oncogene homolog.
23542	MAPK8IP2	<1e-14	mitogen-activated protein kinase 8 interacting protein 2.IB2; JIP2; PRKM8IPL.mitogen-activated protein kinase 8 interacting protein 2 isoform 3.
2562	GABRB3	<1e-14	"gamma-aminobutyric acid (GABA) A receptor, beta 3.MGC9051.gamma-aminobutyric acid (GABA) A receptor, beta 3 isoform 2 precursor."
2571	GAD1	<1e-14	"glutamate decarboxylase 1 (brain, 67kDa).GAD; GAD25; GAD67.glutamate decarboxylase 1 isoform GAD67."
2574	GAGE2	<1e-14	G antigen 2..G antigen 2.
2596	GAP43	<1e-14	growth associated protein 43.B-50; PP46.growth associated protein 43.
25999		<1e-14	CLIPR59; DKFZp586N1922.CLIP-170-related protein.May be a cytoskeleton-associated protein; contains a CAP-Gly domain|Proteome
2628	GATM	<1e-14	glycine amidinotransferase (L-arginine:glycine amidinotransferase).AGAT.glycine amidinotransferase (L-arginine:glycine amidinotransferase).
273	AMPH	<1e-14	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen).AMPH1.amphiphysin isoform 2.
2775	GNAO1	<1e-14	"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.GNAO; G-ALPHA-o.guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O.G-protein alpha subunit o1; subunit of pertussis toxin-sensitive heterotrimeric G-protein complexes|Proteome"
2786	GNG4	<1e-14	"guanine nucleotide binding protein (G protein), gamma 4..guanine nucleotide binding protein (G protein), gamma 4."
2878	GPX3	<1e-14	glutathione peroxidase 3 (plasma)..plasma glutathione peroxidase 3 precursor.
2891	GRIA2	<1e-14	"glutamate receptor, ionotropic, AMPA 2.GLUR2; GLURB; HBGR2.glutamate receptor, ionotropic, AMPA 2."
2902	GRIN1	<1e-14	"glutamate receptor, ionotropic, N-methyl D-aspartate 1.NR1; NMDA1; NMDAR1.NMDA receptor 1 isoform NR1-3 precursor."
29114		<1e-14	NP22.neuronal protein.
2944	GSTM1	<1e-14	glutathione S-transferase M1.MU; H-B; GST1; GTH4; GTM1; MU-1; GSTM1-1; MGC26563; GSTM1a-1a; GSTM1b-1b.glutathione S-transferase M1 isoform 2.
3043	HBB	<1e-14	"hemoglobin, beta..beta globin."
322	APBB1	<1e-14	"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65).RIR; FE65; MGC:9072.amyloid beta A4 precursor protein-binding, family B, member 1 isoform delta E9."
3306	HSPA2	<1e-14	heat shock 70kDa protein 2..heat shock 70kDa protein 2.
333	APLP1	<1e-14	amyloid beta (A4) precursor-like protein 1.APLP.amyloid beta (A4) precursor-like protein 1.
3360	HTR4	<1e-14	5
3434	IFIT1	<1e-14	interferon-induced protein with tetratricopeptide repeats 1.G10P1; IFI56; IFI-56; IFNAI1; RNM561; GARG-16.interferon-induced protein with tetratricopeptide repeats 1.
346	APOC4	<1e-14	apolipoprotein C-IV..apolipoprotein C-IV.
347	APOD	<1e-14	apolipoprotein D..apolipoprotein D precursor.
358	AQP1	<1e-14	"aquaporin 1 (channel-forming integral protein, 28kDa).CO; CHIP28; AQP-CHIP; MGC26324.aquaporin 1."
3625	INHBB	<1e-14	"inhibin, beta B (activin AB beta polypeptide)..inhibin beta B subunit precursor."
3642	INSM1	<1e-14	insulinoma-associated 1.IA1; IA-1.insulinoma-associated 1.
3800	KIF5C	<1e-14	kinesin family member 5C.KINN; NKHC; NKHC2; NKHC-2; KIAA0531..
3872	KRT17	<1e-14	keratin 17.PC; K17; PC2; PCHC1.keratin 17.
3897	L1CAM	<1e-14	"L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1).S10; HSAS; MASA; MIC5; SPG1; CAML1; CD171; HSAS1; N-CAML1.L1 cell adhesion molecule isoform 2 precursor."
4023	LPL	<1e-14	lipoprotein lipase.LIPD.lipoprotein lipase precursor.
4062	LY6H	<1e-14	"lymphocyte antigen 6 complex, locus H.NMLY6.lymphocyte antigen 6 complex, locus H."
4129	MAOB	<1e-14	monoamine oxidase B.MGC26382.amine oxidase (flavin-containing).
4137	MAPT	<1e-14	microtubule-associated protein tau.TAU; MSTD; PPND; DDPAC; MAPTL; MTBT1; MTBT2; FTDP-17; FLJ31424.microtubule-associated protein tau isoform 4.
4143	MAT1A	<1e-14	"methionine adenosyltransferase I, alpha.MAT; SAMS; MATA1; SAMS1.methionine adenosyltransferase I, alpha."
4192	MDK	<1e-14	midkine (neurite growth-promoting factor 2).NEGF2.midkine (neurite growth-promoting factor 2).
4212	MEIS2	<1e-14	"Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse).MRG1; MGC2820.homeobox protein Meis2 isoform h."
4435	CITED1	<1e-14	"Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 1.MSG1.Cbpp300-interacting transactivator, with GluAsp-rich carboxy-terminal domain, 1."
4747	NEFL	<1e-14	"neurofilament, light polypeptide 68kDa.NFL; NF68; CMT1F; CMT2E.neurofilament, light polypeptide 68kDa.Light subunit of neurofilament; intermediate filament|Proteome"
4826	NNAT	<1e-14	neuronatin.Peg5; MGC1439.neuronatin isoform beta.
4852	NPY	<1e-14	neuropeptide Y..neuropeptide Y.
4857	NOVA1	<1e-14	neuro-oncological ventral antigen 1.Nova-1.neuro-oncological ventral antigen 1 isoform 2.
4884	NPTX1	<1e-14	neuronal pentraxin I.NP1.neuronal pentraxin I precursor.
4900	NRGN	<1e-14	"neurogranin (protein kinase C substrate, RC3).RC3; hng.neurogranin."
4919	ROR1	<1e-14	receptor tyrosine kinase-like orphan receptor 1.NTRKR1; dJ537F10.1.receptor tyrosine kinase-like orphan receptor 1.
5003	SLC22A1LS	<1e-14	"solute carrier family 22 (organic cation transporter), member 1-like antisense.BWR1B; BWSCR1B; ORCTL2S; p27-BWR1B.solute carrier family 22 (organic cation transporter), member 1-like antisense."
5005	ORM2	<1e-14	orosomucoid 2.AGP2; AGP-B; AGP-B.orosomucoid 2.
50649	ARHGEF4	<1e-14	Rho guanine nucleotide exchange factor (GEF) 4.ASEF; GEF4; STM6; KIAA1112; DKFZp434G2016.Rho guanine nucleotide exchange factor 4 isoform b.
5080	PAX6	<1e-14	"paired box gene 6 (aniridia, keratitis).AN; AN2; MGDA; WAGR; D11S812E.paired box gene 6 isoform b."
5121	PCP4	<1e-14	Purkinje cell protein 4.PEP-19.Purkinje cell protein 4.
5122	PCSK1	<1e-14	proprotein convertase subtilisinkexin type 1.PC1; PC3; NEC1; SPC3.proprotein convertase subtilisinkexin type 1 preproprotein.
5138	PDE2A	<1e-14	"phosphodiesterase 2A, cGMP-stimulated..phosphodiesterase 2A, cGMP-stimulated."
51412	ACTL6	<1e-14	actin-like 6.BAF53B.BAF53b.
5156	PDGFRA	<1e-14	"platelet-derived growth factor receptor, alpha polypeptide.CD140A; PDGFR2.platelet-derived growth factor receptor alpha precursor."
5168	ENPP2	<1e-14	ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).ATX; PDNP2; LysoPLD; PD-IALPHA.ectonucleotide pyrophosphatasephosphodiesterase 2 (autotaxin).
51704	GPRC5B	<1e-14	"G protein-coupled receptor, family C, group 5, member B.RAIG2; RAIG-2.G protein-coupled receptor, family C, group 5, member B precursor."
5179	PENK	<1e-14	proenkephalin..proenkephalin.
5265	SERPINA1	<1e-14	"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.PI; A1A; AAT; PI1; A1AT; alpha-1-antitrypsin.serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1."
5274	SERPINI1	<1e-14	"serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1.PI12; neuroserpin.serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1."
534	ATP6V1G2	<1e-14	"ATPase, H transporting, lysosomal 13kDa, V1 subunit G isoform 2.NG38; ATP6G; Vma10; ATP6G2.ATPase, H transporting, lysosomal, V1 subunit G2, isoform b."
5348	FXYD1	<1e-14	FXYD domain containing ion transport regulator 1 (phospholemman).PLM; MGC44983.phospholemman precursor.
5354	PLP1	<1e-14	"proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated).PLP; PMD; MMPL; SPG2; PLPDM20.proteolipid protein 1 isoform 1."
5364	PLXNB1	<1e-14	plexin B1.SEP; PLXN5; KIAA0407; PLEXIN-B1..Plexin 5; involved in mediating cell guidance; member of the plexin family of semaphorin receptors|Proteome
5413	PNUTL1	<1e-14	peanut-like 1 (Drosophila).H5; SEPT5; CDCREL; CDCREL1; CDCREL-1; HCDCREL-1.peanut-like 1.
5545	PRB4	<1e-14	proline-rich protein BstNI subfamily 4.Po.proline-rich protein BstNI subfamily 4 precursor.
56340		<1e-14	
5645	PRSS2	<1e-14	"protease, serine, 2 (trypsin 2).TRY2; TRY8; TRYP2.protease, serine, 2 preproprotein."
5662	PSD	<1e-14	pleckstrin and Sec7 domain protein.TYL; KIAA2011.pleckstrin and Sec7 domain protein.
57416		<1e-14	
5764	PTN	<1e-14	"pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1).HARP; HBNF; HBGF8; NEGF1.pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)."
5798	PTPRN	<1e-14	"protein tyrosine phosphatase, receptor type, N.IA2; IA-2; ICA512; R-PTP-N; IA-2PTP.protein tyrosine phosphatase, receptor type, N precursor."
5799	PTPRN2	<1e-14	"protein tyrosine phosphatase, receptor type, N polypeptide 2.IAR; ICAAR; PTPRP; PHOGRIN; IA-2beta; KIAA0387; IAR PTPRP.protein tyrosine phosphatase, receptor type, N polypeptide 2 isoform 3 precursor."
5947	RBP1	<1e-14	"retinol binding protein 1, cellular.CRBP; RBPC; CRBP1; CRABP-I.retinol binding protein 1, cellular."
6000	RGS7	<1e-14	regulator of G-protein signalling 7..regulator of G-protein signalling 7.
6035	RNASE1	<1e-14	"ribonuclease, RNase A family, 1 (pancreatic).RIB1; RNS1; MGC12408.pancreatic ribonuclease precursor."
6192	RPS4Y	<1e-14	"ribosomal protein S4, Y-linked.RPS4Y1.ribosomal protein S4, Y-linked Y isoform."
6252	RTN1	<1e-14	reticulon 1.NSP.reticulon 1.
6327	SCN2B	<1e-14	"sodium channel, voltage-gated, type II, beta..sodium channel, voltage-gated, type II, beta."
63941	APBA2BP	<1e-14	"amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein.NIP1; XB51; EFCBP3; NECAB3; SYTIP2; dJ63M2.4; dJ63M2.5.amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein isoform 2."
64061	Oxct2a	<1e-14	3
6422	SFRP1	<1e-14	secreted frizzled-related protein 1.FRP; FRP1; FrzA; FRP-1; SARP2.secreted frizzled-related protein 1.
6447	SGNE1	<1e-14	"secretory granule, neuroendocrine protein 1 (7B2 protein).P7B2.secretory granule, neuroendocrine protein 1 (7B2 protein)."
6604	SMARCD3	<1e-14	"SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3.BAF60C; CRACD3.SWISNF-related matrix-associated actin-dependent regulator of chromatin d3."
6616	SNAP25	<1e-14	"synaptosomal-associated protein, 25kDa.SNAP; SNAP-25; FLJ23079; bA416N4.2; dJ1068F16.2.synaptosomal-associated protein 25 isoform SNAP25B."
6623	SNCG	<1e-14	"synuclein, gamma (breast cancer-specific protein 1).SR; BCSG1.synuclein, gamma (breast cancer-specific protein 1)."
6649	SOD3	<1e-14	"superoxide dismutase 3, extracellular..superoxide dismutase 3, extracellular."
6663	SOX10	<1e-14	SRY (sex determining region Y)-box 10.DOM; WS4; MGC15649.SRY (sex determining region Y)-box 10.
6695	SPOCK	<1e-14	"sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican).TIC1; SPOCK1; TESTICAN.sparcosteonectin, cwcv and kazal-like domains proteoglycan precursor."
6696	SPP1	<1e-14	"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1).OPN; BNSP; BSPI; ETA-1.secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1).Osteopontin (bone sialoprotein); bone and blood vessel extracellular matrix protein involved in calcification and atherosclerosis|Proteome"
6750	SST	<1e-14	somatostatin.SMST.somatostatin.
6804	STX1A	<1e-14	syntaxin 1A (brain).STX1; HPC-1; p35-1.syntaxin 1A (brain).
6857	SYT1	<1e-14	synaptotagmin I.P65; SYT; SVP65.synaptotagmin I.
6861	SYT5	<1e-14	synaptotagmin V..synaptotagmin V.
7018	TF	<1e-14	transferrin.PRO1557.transferrin.
7060	THBS4	<1e-14	thrombospondin 4.TSP4.thrombospondin 4 precursor.
7067	THRA	<1e-14	"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian).AR7; EAR7; ERBA; ERBA1; NR1A1; THRA1; THRA2; THRA3; EAR-7.1; EAR-7.2; ERB-T-1; MGC43240; c-ERBA-1; MGC000261; ERBA-ALPHA; TR-ALPHA-1; c-ERBA-ALPHA-2.thyroid hormone receptor, alpha isoform 2."
7102	TM4SF2	<1e-14	transmembrane 4 superfamily member 2.A15; MXS1; CD231; CCG-B7; TALLA-1; TM4SF2b; DXS1692E.transmembrane 4 superfamily member 2.
7103	TM4SF3	<1e-14	transmembrane 4 superfamily member 3.CO-029.transmembrane 4 superfamily member 3.
7108	TM7SF2	<1e-14	transmembrane 7 superfamily member 2.ANG1.transmembrane 7 superfamily member 2.
7122	CLDN5	<1e-14	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome).AWAL; BEC1; TMVCF; CPETRL1.claudin 5.
7123	TNA	<1e-14	tetranectin (plasminogen binding protein).TN.tetranectin (plasminogen binding protein).
718	C3	<1e-14	complement component 3.ASP.complement component 3 precursor.
7226	TRPM2	<1e-14	"transient receptor potential cation channel, subfamily M, member 2.KNP3; EREG1; TRPC7; LTRPC2.transient receptor potential cation channel, subfamily M, member 2."
7345	UCHL1	<1e-14	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase).PARK5; PGP9.5.ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase).
7425	VGF	<1e-14	VGF nerve growth factor inducible..VGF nerve growth factor inducible precursor.
7485	WRB	<1e-14	tryptophan rich basic protein.CHD5.tryptophan rich basic protein.
760	CA2	<1e-14	carbonic anhydrase II.CA-II.carbonic anhydrase II.
770	CA11	<1e-14	carbonic anhydrase XI.CARP2; CA-RP XI.carbonic anhydrase XI precursor.
7704	ZNF145	<1e-14	"zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia).PLZF.zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)."
7857	SCG2	<1e-14	secretogranin II (chromogranin C).CHGC; SgII.secretogranin II precursor.
794	CALB2	<1e-14	"calbindin 2, 29kDa (calretinin).CAL2.calbindin 2 isoform 22k."
79734		<1e-14	hypothetical protein FLJ12242.
83988	NCALD	<1e-14	neurocalcin delta..neurocalcin delta.
8406	SRPX	<1e-14	"sushi-repeat-containing protein, X-linked.ETX1.sushi-repeat-containing protein, X-linked."
8484	GALR3	<1e-14	galanin receptor 3..galanin receptor 3.
8490	RGS5	<1e-14	regulator of G-protein signalling 5.MSTP032.regulator of G-protein signalling 5.
8537	BCAS1	<1e-14	breast carcinoma amplified sequence 1.AIBC1; NABC1.breast carcinoma amplified sequence 1.
8781	PSPHL	<1e-14	phosphoserine phosphatase-like.CO9..
8788	DLK1	<1e-14	delta-like 1 homolog (Drosophila).FA1; ZOG; pG2; PREF1; Pref-1.delta-like homolog.
885	CCK	<1e-14	cholecystokinin..cholecystokinin preproprotein.
8938	BAIAP3	<1e-14	BAI1-associated protein 3.BAP3; KIAA0734.BAI1-associated protein 3.
9071	CLDN10	<1e-14	claudin 10.OSP-L; CPETRL3.claudin 10 isoform b.
9077	ARHI	<1e-14	"ras homolog gene family, member I.NOEY2.ras homolog I."
9201	DCAMKL1	<1e-14	doublecortin and CaM kinase-like 1.DCLK; KIAA0369..
9254	CACNA2D2	<1e-14	"calcium channel, voltage-dependent, alpha 2delta subunit 2.CACNA2D; gene 26; KIAA0558.calcium channel, voltage-dependent, alpha 2delta subunit 2."
9378	NRXN1	<1e-14	neurexin 1.Hs.22998; KIAA0578.neurexin 1 isoform beta precursor.
9478	CABP1	<1e-14	calcium binding protein 1 (calbrain).CALBRAIN; HCALB_BR.calcium binding protein 1 isoform 2.
9568	GPR51	<1e-14	G protein-coupled receptor 51.HG20; GABBR2; GPRC3B; GABABR2.G protein-coupled receptor 51.
9607		<1e-14	cocaine- and amphetamine-regulated transcript.
9651		<1e-14	FLJ00417..
9699	RIMS2	<1e-14	regulating synaptic membrane exocytosis 2.OBOE; RIM2; RAB3IP3; KIAA0751.regulating synaptic membrane exocytosis 2.
9737		<1e-14	KIAA0443.G protein-coupled receptor-associated sorting protein.
9796	PHYHIP	<1e-14	phytanoyl-CoA hydroxylase interacting protein.PAHX-AP; KIAA0273.phytanoyl-CoA hydroxylase interacting protein.
9806	SPOCK2	<1e-14	"sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican) 2.KIAA0275; testican-2.sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican) 2."
9892	SNAP91	<1e-14	"synaptosomal-associated protein, 91kDa homolog (mouse).AP180; KIAA0656.synaptosomal-associated protein, 91kDa homolog."
9899	SV2B	<1e-14	synaptic vesicle glycoprotein 2B.HsT19680; KIAA0735.synaptic vesicle protein 2B homolog.
9900	SV2A	<1e-14	synaptic vesicle glycoprotein 2A.SV2; KIAA0736.synaptic vesicle glycoprotein 2.
3908	LAMA2	<1e-14	"laminin, alpha 2 (merosin, congenital muscular dystrophy).LAMM.laminin alpha 2 subunit precursor."
4297	MLL	<1e-14	"myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila).HRX; TRX1; ALL-1; HTRX1.myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)."
27339		1.42E-13	PSO4; hPSO4.nuclear matrix protein NMP200 related to splicing factor PRP19.
4133	MAP2	1.99E-13	microtubule-associated protein 2.MAP2A; MAP2B; MAP2C.microtubule-associated protein 2 isoform 4.
9145	SYNGR1	1.99E-13	synaptogyrin 1.MGC:1939.synaptogyrin 1 isoform 1c.
8534	CHST1	2.56E-13	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.C6ST; KS6ST; KSGAL6ST; KSGal6ST.carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.
934	CD24	2.56E-13	CD24 antigen (small cell lung carcinoma cluster 4 antigen).CD24A.CD24 antigen (small cell lung carcinoma cluster 4 antigen).
10529		3.13E-13	nebulette.
3679	ITGA7	3.13E-13	"integrin, alpha 7..integrin alpha 7 precursor."
57030	SLC17A7	3.13E-13	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7.TACE; 1600027H05Rik; tMDCIII; BNPI; VGLUT1.solute carrier family 17, member 7."
23705	IGSF4	5.40E-13	"immunoglobulin superfamily, member 4.BL2; ST17; NECL2; TSLC1; SYNCAM.immunoglobulin superfamily, member 4.Low similarity to viral receptors and adhesion molecules; contains immunoglobulin (Ig) domains|Proteome"
4303	MLLT7	7.67E-13	"myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7.AFX; AFX1; FOXO4.myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7."
213	ALB	1.28E-12	albumin.PRO0883.albumin precursor.
1838	DTNB	1.51E-12	"dystrobrevin, beta.MGC17163; MGC57126.dystrobrevin, beta isoform 5."
5602	MAPK10	1.56E-12	mitogen-activated protein kinase 10.JNK3; JNK3A; PRKM10; p493F12; FLJ12099; p54bSAPK.mitogen-activated protein kinase 10 isoform 4.
10716	TBR1	1.62E-12	"T-box, brain, 1.TES-56.T-box, brain, 1."
